ID_DEPTO,Area,ID_Grupo_Etario,Casos
06462,Leandro N. Alem,1,1361
06462,Leandro N. Alem,2,1585
06462,Leandro N. Alem,3,1953
06462,Leandro N. Alem,4,1912
06462,Leandro N. Alem,5,6897
06462,Leandro N. Alem,6,3445
06466,Lezama,1,443
06466,Lezama,2,546
06466,Lezama,3,663
06466,Lezama,4,699
06466,Lezama,5,2630
06466,Lezama,6,1189
06469,Lincoln,1,3480
06469,Lincoln,2,4008
06469,Lincoln,3,4746
06469,Lincoln,4,4616
06469,Lincoln,5,18923
06469,Lincoln,6,9418
06476,Lobería,1,1302
06476,Lobería,2,1606
06476,Lobería,3,1897
06476,Lobería,4,1911
06476,Lobería,5,7656
06476,Lobería,6,3734
06483,Lobos,1,3294
06483,Lobos,2,3961
06483,Lobos,3,4742
06483,Lobos,4,4569
06483,Lobos,5,17030
06483,Lobos,6,7822
06490,Lomas de Zamora,1,50825
06490,Lomas de Zamora,2,65571
06490,Lomas de Zamora,3,76653
06490,Lomas de Zamora,4,80089
06490,Lomas de Zamora,5,298507
06490,Lomas de Zamora,6,113999
06497,Luján,1,8352
06497,Luján,2,10571
06497,Luján,3,12158
06497,Luján,4,12775
06497,Luján,5,48269
06497,Luján,6,17986
06505,Magdalena,1,1935
06505,Magdalena,2,2352
06505,Magdalena,3,2676
06505,Magdalena,4,2752
06505,Magdalena,5,9423
06505,Magdalena,6,3515
06511,Maipú,1,861
06511,Maipú,2,1058
06511,Maipú,3,1171
06511,Maipú,4,1163
06511,Maipú,5,4708
06511,Maipú,6,2292
06515,Malvinas Argentinas,1,25943
06515,Malvinas Argentinas,2,34313
06515,Malvinas Argentinas,3,40965
06515,Malvinas Argentinas,4,45345
06515,Malvinas Argentinas,5,151598
06515,Malvinas Argentinas,6,51237
06518,Mar Chiquita,1,2519
06518,Mar Chiquita,2,3085
06518,Mar Chiquita,3,3581
06518,Mar Chiquita,4,3223
06518,Mar Chiquita,5,14399
06518,Mar Chiquita,6,6166
06525,Marcos Paz,1,5973
06525,Marcos Paz,2,7274
06525,Marcos Paz,3,8351
06525,Marcos Paz,4,8256
06525,Marcos Paz,5,27197
06525,Marcos Paz,6,7710
06532,Mercedes,1,5457
06532,Mercedes,2,6743
06532,Mercedes,3,7892
06532,Mercedes,4,8276
06532,Mercedes,5,29842
06532,Mercedes,6,12792
06539,Merlo,1,48007
06539,Merlo,2,61148
06539,Merlo,3,70111
06539,Merlo,4,73711
06539,Merlo,5,246778
06539,Merlo,6,81729
06547,Monte,1,1922
06547,Monte,2,2558
06547,Monte,3,2853
06547,Monte,4,2672
06547,Monte,5,10419
06547,Monte,6,4192
06553,Monte Hermoso,1,596
06553,Monte Hermoso,2,810
06553,Monte Hermoso,3,914
06553,Monte Hermoso,4,856
06553,Monte Hermoso,5,3652
06553,Monte Hermoso,6,1616
06560,Moreno,1,50791
06560,Moreno,2,65328
06560,Moreno,3,71388
06560,Moreno,4,74573
06560,Moreno,5,246220
06560,Moreno,6,67458
06568,Morón,1,18044
06568,Morón,2,24608
06568,Morón,3,30756
06568,Morón,4,35173
06568,Morón,5,147152
06568,Morón,6,73784
06574,Navarro,1,1501
06574,Navarro,2,1995
06574,Navarro,3,2428
06574,Navarro,4,2335
06574,Navarro,5,8180
06574,Navarro,6,3449
06581,Necochea,1,6914
06581,Necochea,2,9031
06581,Necochea,3,10861
06581,Necochea,4,10199
06581,Necochea,5,43272
06581,Necochea,6,21206
06588,9 de Julio,1,3963
06588,9 de Julio,2,4895
06588,9 de Julio,3,5934
06588,9 de Julio,4,5370
06588,9 de Julio,5,21643
06588,9 de Julio,6,10561
06595,Olavarría,1,8554
06595,Olavarría,2,11123
06595,Olavarría,3,13458
06595,Olavarría,4,14221
06595,Olavarría,5,51323
06595,Olavarría,6,23332
06602,Patagones,1,2857
06602,Patagones,2,3677
06602,Patagones,3,3920
06602,Patagones,4,4018
06602,Patagones,5,16586
06602,Patagones,6,6441
06609,Pehuajó,1,3474
06609,Pehuajó,2,4099
06609,Pehuajó,3,5012
06609,Pehuajó,4,4594
06609,Pehuajó,5,18322
06609,Pehuajó,6,9093
06616,Pellegrini,1,662
06616,Pellegrini,2,719
06616,Pellegrini,3,722
06616,Pellegrini,4,744
06616,Pellegrini,5,2888
06616,Pellegrini,6,1377
06623,Pergamino,1,8676
06623,Pergamino,2,10471
06623,Pergamino,3,12182
06623,Pergamino,4,11979
06623,Pergamino,5,49105
06623,Pergamino,6,22575
06630,Pila,1,408
06630,Pila,2,511
06630,Pila,3,522
06630,Pila,4,532
06630,Pila,5,1930
06630,Pila,6,712
06638,Pilar,1,34493
06638,Pilar,2,42505
06638,Pilar,3,48967
06638,Pilar,4,52358
06638,Pilar,5,170784
06638,Pilar,6,44507
06644,Pinamar,1,3043
06644,Pinamar,2,3865
06644,Pinamar,3,4633
06644,Pinamar,4,4592
06644,Pinamar,5,17479
06644,Pinamar,6,5612
06648,Presidente Perón,1,10170
06648,Presidente Perón,2,12302
06648,Presidente Perón,3,13904
06648,Presidente Perón,4,13500
06648,Presidente Perón,5,42163
06648,Presidente Perón,6,9955
06651,Puan,1,998
06651,Puan,2,1236
06651,Puan,3,1455
06651,Puan,4,1417
06651,Puan,5,7015
06651,Puan,6,4270
06655,Punta Indio,1,936
06655,Punta Indio,2,1193
06655,Punta Indio,3,1238
06655,Punta Indio,4,1314
06655,Punta Indio,5,5024
06655,Punta Indio,6,2456
06658,Quilmes,1,47353
06658,Quilmes,2,60261
06658,Quilmes,3,70705
06658,Quilmes,4,75736
06658,Quilmes,5,272116
06658,Quilmes,6,105603
06665,Ramallo,1,3451
06665,Ramallo,2,4031
06665,Ramallo,3,4764
06665,Ramallo,4,4702
06665,Ramallo,5,16572
06665,Ramallo,6,6128
06672,Rauch,1,1197
06672,Rauch,2,1501
06672,Rauch,3,1779
06672,Rauch,4,1727
06672,Rauch,5,6806
06672,Rauch,6,3481
06679,Rivadavia,1,1734
06679,Rivadavia,2,2000
06679,Rivadavia,3,2190
06679,Rivadavia,4,2161
06679,Rivadavia,5,8217
06679,Rivadavia,6,3433
06686,Rojas,1,1851
06686,Rojas,2,2284
06686,Rojas,3,2802
06686,Rojas,4,2658
06686,Rojas,5,10743
06686,Rojas,6,5281
06693,Roque Pérez,1,1104
06693,Roque Pérez,2,1342
06693,Roque Pérez,3,1546
06693,Roque Pérez,4,1591
06693,Roque Pérez,5,5843
06693,Roque Pérez,6,2475
06700,Saavedra,1,1436
06700,Saavedra,2,1822
06700,Saavedra,3,2086
06700,Saavedra,4,2023
06700,Saavedra,5,9381
06700,Saavedra,6,4659
06707,Saladillo,1,2716
06707,Saladillo,2,3213
06707,Saladillo,3,3911
06707,Saladillo,4,3695
06707,Saladillo,5,14543
06707,Saladillo,6,7345
06714,Salto,1,3175
06714,Salto,2,3725
06714,Salto,3,4474
06714,Salto,4,4563
06714,Salto,5,16264
06714,Salto,6,7056
06721,Salliqueló,1,653
06721,Salliqueló,2,818
06721,Salliqueló,3,991
06721,Salliqueló,4,907
06721,Salliqueló,5,4016
06721,Salliqueló,6,1959
06728,San Andrés de Giles,1,2151
06728,San Andrés de Giles,2,2599
06728,San Andrés de Giles,3,3015
06728,San Andrés de Giles,4,3149
06728,San Andrés de Giles,5,11218
06728,San Andrés de Giles,6,4267
06735,San Antonio de Areco,1,2120
06735,San Antonio de Areco,2,2443
06735,San Antonio de Areco,3,2999
06735,San Antonio de Areco,4,2960
06735,San Antonio de Areco,5,11438
06735,San Antonio de Areco,6,4735
06742,San Cayetano,1,615
06742,San Cayetano,2,731
06742,San Cayetano,3,881
06742,San Cayetano,4,902
06742,San Cayetano,5,3823
06742,San Cayetano,6,1966
06749,San Fernando,1,11498
06749,San Fernando,2,15307
06749,San Fernando,3,18054
06749,San Fernando,4,20310
06749,San Fernando,5,75556
06749,San Fernando,6,30374
