Provincia,Departamento,Jardines,Poblacion_Jardin,Primarias,Poblacion_Primaria,Secundarias,Poblacion_Secundaria
Tucumán,Juan Bautista Alberdi,19.0,2908,19.0,3478,13.0,4108
Santiago del Estero,Juan Felipe Ibarra,31.0,2152,49.0,2575,19.0,3014
San Luis,Juan Martín de Pueyrredón,95.0,19681,110.0,24700,118.0,31276
Buenos Aires,Junín,42.0,7543,46.0,8925,42.0,10236
San Luis,Junín,20.0,2825,31.0,3659,38.0,4569
Mendoza,Junín,40.0,3662,28.0,4550,15.0,5068
Córdoba,Juárez Celman,48.0,5605,55.0,6415,26.0,7384
San Juan,Jáchal,32.0,2155,34.0,2384,29.0,2795
Salta,La Caldera,10.0,966,9.0,1219,3.0,1287
Salta,La Candelaria,6.0,596,7.0,775,4.0,884
Santa Fe,La Capital,194.0,42937,175.0,51558,171.0,59938
Tucumán,La Cocha,17.0,1894,18.0,2167,14.0,2672
Buenos Aires,La Costa,27.0,7455,25.0,9744,24.0,11692
Buenos Aires,La Matanza,325.0,157034,333.0,193043,355.0,214041
Mendoza,La Paz,13.0,1018,11.0,1305,4.0,1302
Entre Ríos,La Paz,82.0,6549,97.0,7842,38.0,8762
Catamarca,La Paz,28.0,2352,51.0,2725,21.0,3265
Buenos Aires,La Plata,232.0,52075,199.0,66893,254.0,78431
Salta,La Poma,8.0,167,8.0,223,3.0,271
Salta,La Viña,8.0,760,9.0,953,4.0,1064
Santa Cruz,Lago Argentino,7.0,2180,9.0,2815,8.0,3093
Santa Cruz,Lago Buenos Aires,4.0,1298,5.0,1375,4.0,1415
Formosa,Laishi,21.0,1725,23.0,2095,22.0,2631
Chubut,Languiñeo,5.0,236,5.0,257,6.0,309
Buenos Aires,Lanús,120.0,28133,116.0,37841,127.0,46520
Buenos Aires,Laprida,11.0,901,16.0,1175,6.0,1343
Santa Fe,Las Colonias,103.0,8519,107.0,10020,49.0,11909
Buenos Aires,Las Flores,15.0,1982,39.0,2355,11.0,2959
Mendoza,Las Heras,81.0,19700,55.0,24827,33.0,27850
Corrientes,Lavalle,37.0,4432,39.0,4752,19.0,5177
Mendoza,Lavalle,62.0,4526,46.0,5749,20.0,5944
Tucumán,Leales,73.0,5678,73.0,6760,53.0,7848
Misiones,Leandro N. Alem,56.0,4430,65.0,5235,40.0,5726
Buenos Aires,Leandro N. Alem,11.0,1361,15.0,1585,8.0,1953
Jujuy,Ledesma,31.0,8147,27.0,9746,25.0,11270
Buenos Aires,Lezama,5.0,443,11.0,546,4.0,663
Chaco,Libertad,11.0,1282,12.0,1476,7.0,1563
San Luis,Libertador General San Martín,10.0,327,27.0,373,34.0,516
Chaco,Libertador General San Martín,56.0,6514,100.0,7273,43.0,8036
Misiones,Libertador General San Martín,59.0,5227,63.0,5931,34.0,6521
La Pampa,Lihuel Calel,1.0,39,1.0,46,1.0,50
La Pampa,Limay Mahuida,2.0,33,2.0,42,1.0,28
Buenos Aires,Lincoln,31.0,3480,41.0,4008,22.0,4746
Buenos Aires,Lobería,19.0,1302,32.0,1606,11.0,1897
Buenos Aires,Lobos,29.0,3294,35.0,3961,17.0,4742
Buenos Aires,Lomas de Zamora,162.0,50825,178.0,65571,219.0,76653
Neuquén,Loncopué,6.0,675,11.0,811,3.0,845
Santiago del Estero,Loreto,52.0,2243,47.0,2577,33.0,3035
Salta,Los Andes,9.0,875,8.0,962,5.0,1091
Neuquén,Los Lagos,7.0,1136,9.0,1557,8.0,1770
La Pampa,Loventué,6.0,647,7.0,835,8.0,1016
Buenos Aires,Luján,53.0,8352,49.0,10571,45.0,12158
Mendoza,Luján de Cuyo,63.0,13914,56.0,17898,34.0,20387
Tucumán,Lules,37.0,8542,32.0,10920,25.0,11725
Neuquén,Lácar,19.0,2801,24.0,3767,11.0,4511
Santa Cruz,Magallanes,4.0,1110,3.0,1489,3.0,1574
Buenos Aires,Magdalena,20.0,1935,23.0,2352,17.0,2676
Chaco,Maipú,25.0,2701,57.0,3024,18.0,3220
Mendoza,Maipú,84.0,18163,69.0,22679,39.0,25291
Buenos Aires,Maipú,9.0,861,12.0,1058,6.0,1171
Mendoza,Malargüe,29.0,2811,22.0,3700,17.0,4071
Buenos Aires,Malvinas Argentinas,78.0,25943,81.0,34313,88.0,40965
Buenos Aires,Mar Chiquita,19.0,2519,26.0,3085,13.0,3581
La Pampa,Maracó,26.0,5292,25.0,6549,25.0,7418
Córdoba,Marcos Juárez,69.0,7791,82.0,9153,45.0,10574
Buenos Aires,Marcos Paz,22.0,5973,24.0,7274,18.0,8351
Formosa,Matacos,15.0,1918,25.0,2143,13.0,2420
Chaco,Mayor Luis J. Fontana,39.0,5880,47.0,6579,25.0,6893
Corrientes,Mburucuyá,13.0,1002,17.0,1108,6.0,1439
Buenos Aires,Mercedes,40.0,5457,41.0,6743,32.0,7892
Corrientes,Mercedes,36.0,4965,39.0,5266,16.0,5536
Buenos Aires,Merlo,110.0,48007,120.0,61148,137.0,70111
Salta,Metán,29.0,4326,27.0,4909,19.0,5274
Neuquén,Minas,9.0,737,17.0,884,7.0,1008
Córdoba,Minas,21.0,371,25.0,424,9.0,529
Santiago del Estero,Mitre,5.0,112,10.0,120,4.0,183
Salta,Molinos,14.0,516,14.0,716,7.0,827
Buenos Aires,Monte,16.0,1922,18.0,2558,11.0,2853
Corrientes,Monte Caseros,32.0,4116,39.0,4648,18.0,5272
Buenos Aires,Monte Hermoso,5.0,596,3.0,810,4.0,914
Misiones,Montecarlo,36.0,3674,39.0,4579,20.0,4992
Tucumán,Monteros,42.0,6523,40.0,7986,29.0,9204
Santiago del Estero,Moreno,46.0,4608,72.0,4781,29.0,6032
Buenos Aires,Moreno,118.0,50791,134.0,65328,143.0,71388
Buenos Aires,Morón,102.0,18044,90.0,24608,103.0,30756
Chubut,Mártires,1.0,64,2.0,60,1.0,68
Buenos Aires,Navarro,19.0,1501,30.0,1995,11.0,2428
Buenos Aires,Necochea,43.0,6914,51.0,9031,41.0,10861
Entre Ríos,Nogoyá,72.0,3364,90.0,4082,28.0,4610
Chaco,O'Higgins,28.0,2090,34.0,2597,12.0,2996
Misiones,Oberá,99.0,11680,108.0,13783,72.0,14897
Santiago del Estero,Ojo de Agua,29.0,1392,45.0,1482,11.0,1865
Buenos Aires,Olavarría,59.0,8554,73.0,11123,52.0,13458
Salta,Orán,75.0,16651,66.0,19414,38.0,21379
Catamarca,Paclín,15.0,317,13.0,429,7.0,533
Jujuy,Palpalá,21.0,4800,22.0,6551,16.0,7631
Entre Ríos,Paraná,232.0,27975,225.0,35139,165.0,39844
Chubut,Paso de Indios,2.0,137,3.0,160,3.0,178
Corrientes,Paso de los Libres,31.0,5442,35.0,6353,17.0,7503
Buenos Aires,Patagones,24.0,2857,30.0,3677,17.0,3920
Formosa,Patiño,102.0,8070,131.0,9940,85.0,10400
Buenos Aires,Pehuajó,28.0,3474,34.0,4099,23.0,5012
Neuquén,Pehuenches,11.0,2678,17.0,3445,10.0,3890
Santiago del Estero,Pellegrini,51.0,2632,72.0,3051,41.0,3520
Buenos Aires,Pellegrini,6.0,662,6.0,719,4.0,722
Buenos Aires,Pergamino,54.0,8676,56.0,10471,45.0,12182
Río Negro,Pichi Mahuida,9.0,1344,10.0,1671,5.0,1711
Neuquén,Picunches,9.0,721,10.0,952,4.0,938
Neuquén,Picún Leufú,5.0,391,7.0,533,2.0,543
Buenos Aires,Pila,8.0,408,15.0,511,3.0,522
Formosa,Pilagás,27.0,1864,34.0,2181,21.0,2467
Buenos Aires,Pilar,105.0,34493,109.0,42505,113.0,48967
Río Negro,Pilcaniyeu,8.0,598,13.0,943,6.0,985
Formosa,Pilcomayo,68.0,8934,60.0,10260,50.0,11076
Buenos Aires,Pinamar,12.0,3043,10.0,3865,12.0,4633
Formosa,Pirané,68.0,6830,100.0,8111,72.0,9246
Córdoba,Pocho,21.0,377,28.0,399,5.0,544
San Juan,Pocito,26.0,7282,27.0,8963,14.0,10027
Catamarca,Pomán,13.0,988,20.0,1243,13.0,1558
Chaco,Presidencia de la Plaza,11.0,1353,16.0,1578,5.0,1785
Buenos Aires,Presidente Perón,22.0,10170,19.0,12302,19.0,13904
Córdoba,Presidente Roque Sáenz Peña,33.0,2907,33.0,3515,18.0,4141
Buenos Aires,Puan,14.0,998,18.0,1236,15.0,1455
